Topic to send: test-topic
Topic to acks: -2
Records: 500000
Size: 500
Batch Size: 500

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d12590634290dbc4
app-info:start-time-ms:{client-id=producer-1}                                      : 1612396948440
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126.000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 576.000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 576.000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0.000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0.000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432.000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0.000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0.000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432.000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0.000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0.000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1.000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0.027
producer-metrics:connection-close-total:{client-id=producer-1}                     : 18.000
producer-metrics:connection-count:{client-id=producer-1}                           : 3.000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0.029
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 21.000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0.000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0.000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0.000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0.000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 8.527
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 12285.000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0.001
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 7062.494
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0.535
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 2725455.285
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 2682960088807.000
producer-metrics:iotime-total:{client-id=producer-1}                               : 7753895375.000
producer-metrics:metadata-age:{client-id=producer-1}                               : 193.912
producer-metrics:network-io-rate:{client-id=producer-1}                            : 97.471
producer-metrics:network-io-total:{client-id=producer-1}                           : 500085.000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 63917.717
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 327890345.000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0.000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0.000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0.000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0.044
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 125.000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 9.000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 97.407
producer-metrics:record-send-total:{client-id=producer-1}                          : 500009.000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 592.000
producer-metrics:record-size-max:{client-id=producer-1}                            : 592.000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1.000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : NaN
producer-metrics:request-latency-max:{client-id=producer-1}                        : NaN
producer-metrics:request-rate:{client-id=producer-1}                               : 97.456
producer-metrics:request-size-avg:{client-id=producer-1}                           : 655.784
producer-metrics:request-size-max:{client-id=producer-1}                           : 656.000
producer-metrics:request-total:{client-id=producer-1}                              : 500043.000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 1.000
producer-metrics:response-rate:{client-id=producer-1}                              : 0.029
producer-metrics:response-total:{client-id=producer-1}                             : 42.000
producer-metrics:select-rate:{client-id=producer-1}                                : 196.231
producer-metrics:select-total:{client-id=producer-1}                               : 1005736.000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0.000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0.000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0.000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0.000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0.000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--3}   : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-2}    : 8.527
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-3}    : 0.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--3}  : 585.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}   : 3219.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-2}   : 3807.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-3}   : 4674.000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--3}   : 0.000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-1}    : 21946.351
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-2}    : 20596.204
